,name,normal_acc,normal_acc_attack,soup_acc,soup_acc_attack
65,"NN_tune_trainable_a17ed_01052_1052_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=gelu,optim::lr=0.001,optim::opt_2021-07-07_04-52-42",0.985,0.926,0.9874,0.9525
66,"NN_tune_trainable_a17ed_02115_2115_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=sg_2021-07-09_15-39-47",0.949,0.5864,0.951,0.4219
67,"NN_tune_trainable_a17ed_02453_2453_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.001,optim::_2021-07-10_13-36-16",0.945,0.0982,0.9478,0.0982
68,"NN_tune_trainable_a17ed_01113_1113_model::dropout=0.5,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=s_2021-07-07_08-03-36",0.113,0.1135,0.1135,0.1135
69,"NN_tune_trainable_a17ed_00312_312_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=a_2021-07-05_13-00-27",0.973,0.1135,0.978,0.1135
70,"NN_tune_trainable_a17ed_00059_59_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=ada_2021-07-04_23-52-44",0.777,0.3228,0.7642,0.3247
71,"NN_tune_trainable_a17ed_02356_2356_model::dropout=0.0,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.0001,optim:_2021-07-10_07-23-50",0.958,0.5148,0.9577,0.4984
72,"NN_tune_trainable_a17ed_01816_1816_model::dropout=0.0,model::init_type=uniform,model::nlin=gelu,optim::lr=0.001,optim::optimizer=a_2021-07-08_22-39-02",0.985,0.7052,0.9874,0.7083
73,"NN_tune_trainable_a17ed_01187_1187_model::dropout=0.5,model::init_type=normal,model::nlin=tanh,optim::lr=0.0001,optim::optimizer=a_2021-07-07_12-09-55",0.655,0.3059,0.6538,0.3046
74,"NN_tune_trainable_a17ed_00960_960_model::dropout=0.0,model::init_type=uniform,model::nlin=tanh,optim::lr=0.001,optim::optimizer=sg_2021-07-06_23-49-51",0.388,0.3653,0.3453,0.2248
75,"NN_tune_trainable_a17ed_01429_1429_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=sigmoid,optim::lr=0.001,optim::_2021-07-08_01-45-45",0.947,0.1135,0.9465,0.1135
76,"NN_tune_trainable_a17ed_00682_682_model::dropout=0.0,model::init_type=normal,model::nlin=relu,optim::lr=0.0001,optim::optimizer=ad_2021-07-06_08-29-56",0.958,0.8361,0.9637,0.8545
77,"NN_tune_trainable_a17ed_00741_741_model::dropout=0.5,model::init_type=kaiming_uniform,model::nlin=tanh,optim::lr=0.0001,optim::opt_2021-07-06_11-43-51",0.95,0.4104,0.9504,0.4391
78,"NN_tune_trainable_a17ed_01481_1481_model::dropout=0.5,model::init_type=uniform,model::nlin=relu,optim::lr=0.001,optim::optimizer=s_2021-07-08_04-43-06",0.113,0.1135,0.1135,0.1135
79,"NN_tune_trainable_a17ed_01979_1979_model::dropout=0.5,model::init_type=normal,model::nlin=gelu,optim::lr=0.0001,optim::optimizer=a_2021-07-09_07-12-14",0.113,0.1135,0.1135,0.1135
80,"NN_tune_trainable_a17ed_01090_1090_model::dropout=0.0,model::init_type=normal,model::nlin=tanh,optim::lr=0.001,optim::optimizer=sg_2021-07-07_06-58-20",0.98,0.4437,0.982,0.5194
